"","pclass","survived","sex","age","sibsp","parch"
"108",1,2,1,NA,0,0
"109",1,2,1,NA,0,0
"110",1,2,2,36,0,0
"111",1,1,2,30,0,0
"112",1,2,1,24,3,2
"113",1,2,1,28,3,2
"114",1,2,1,23,3,2
"115",1,1,2,19,3,2
"116",1,1,2,64,1,4
"117",1,2,1,60,1,4
"118",1,2,1,30,0,0
"119",1,1,2,NA,0,0
"120",1,2,2,50,2,0
"121",1,2,2,43,1,0
"122",1,2,1,NA,1,0
"123",1,2,1,22,0,2
"124",1,2,2,60,1,1
"125",1,2,1,48,1,1
"126",1,1,2,NA,0,0
"127",1,1,2,37,1,0
"128",1,2,1,35,1,0
"129",1,1,2,47,0,0
"130",1,2,1,35,0,0
"131",1,2,1,22,0,1
"132",1,2,1,45,0,1
"133",1,1,2,24,0,0
"134",1,2,2,49,1,0
"135",1,2,1,NA,1,0
"136",1,1,2,71,0,0
"137",1,2,2,53,0,0
"138",1,2,1,19,0,0
"139",1,1,2,38,0,1
"140",1,2,1,58,0,1
"141",1,2,2,23,0,1
"142",1,2,1,45,0,1
"143",1,1,2,46,0,0
"144",1,2,2,25,1,0
"145",1,2,1,25,1,0
"146",1,2,2,48,1,0
"147",1,2,1,49,1,0
"148",1,1,2,NA,0,0
"149",1,1,2,45,1,0
"150",1,2,1,35,1,0
"151",1,1,2,40,0,0
"152",1,2,2,27,0,0
"153",1,2,2,NA,0,0
"154",1,2,1,24,0,0
"155",1,1,2,55,1,1
"156",1,2,1,52,1,1
"157",1,1,2,42,0,0
"158",1,1,2,NA,0,0
"159",1,1,2,55,0,0
"160",1,2,1,16,0,1
"161",1,2,1,44,0,1
"162",1,2,1,51,1,0
"163",1,1,2,42,1,0
"164",1,2,1,35,1,0
"165",1,2,2,35,0,0
"166",1,2,2,38,1,0
"167",1,1,2,NA,0,0
"168",1,2,1,35,1,0
"169",1,2,1,38,0,0
"170",1,1,1,50,0,0
"171",1,2,2,49,0,0
"172",1,1,2,46,0,0
"173",1,1,2,50,0,0
"174",1,1,2,32.5,0,0
"175",1,1,2,58,0,0
"176",1,1,2,41,1,0
"177",1,2,1,NA,1,0
"178",1,2,2,42,1,0
"179",1,2,1,45,1,0
"180",1,1,2,NA,0,0
"181",1,2,1,39,0,0
"182",1,2,1,49,0,0
"183",1,2,1,30,0,0
"184",1,2,2,35,0,0
"185",1,1,2,NA,0,0
"186",1,1,2,42,0,0
"187",1,2,1,55,0,0
"188",1,2,1,16,0,1
"189",1,2,1,51,0,1
"190",1,1,2,29,0,0
"191",1,2,1,21,0,0
"192",1,1,2,30,0,0
"193",1,2,1,58,0,0
"194",1,2,1,15,0,1
"195",1,1,2,30,0,0
"196",1,2,1,16,0,0
"197",1,2,2,NA,0,0
"198",1,1,2,19,1,0
"199",1,2,1,18,1,0
"200",1,2,1,24,0,0
"201",1,1,2,46,0,0
"202",1,1,2,54,0,0
"203",1,2,2,36,0,0
"204",1,1,2,28,1,0
"205",1,2,1,NA,1,0
"206",1,1,2,65,0,0
"207",1,1,2,44,2,0
"208",1,2,1,33,1,0
"209",1,2,1,37,1,0
"210",1,2,2,30,1,0
"211",1,1,2,55,0,0
"212",1,1,2,47,0,0
"213",1,1,2,37,0,1
"214",1,2,1,31,1,0
"215",1,2,1,23,1,0
"216",1,1,2,58,0,2
"217",1,2,1,19,0,2
"218",1,1,2,64,0,0
"219",1,2,1,39,0,0
"220",1,2,2,NA,0,0
"221",1,2,1,22,0,1
"222",1,1,2,65,0,1
"223",1,1,2,28.5,0,0
"224",1,1,2,NA,0,0
"225",1,1,2,45.5,0,0
"226",1,1,2,23,0,0
"227",1,1,2,29,1,0
"228",1,2,1,22,1,0
"229",1,1,2,18,1,0
"230",1,2,1,17,1,0
"231",1,2,1,30,0,0
"232",1,2,2,52,0,0
"233",1,1,2,47,0,0
"234",1,2,1,56,0,1
"235",1,1,2,38,0,0
"236",1,2,2,NA,0,0
"237",1,1,2,22,0,0
"238",1,1,2,NA,0,0
"239",1,2,1,43,0,1
"240",1,1,2,31,0,0
"241",1,2,2,45,0,0
"242",1,1,2,NA,0,0
"243",1,2,1,33,0,0
"244",1,1,2,46,0,0
"245",1,1,2,36,0,0
"246",1,2,1,33,0,0
"247",1,1,2,55,1,0
"248",1,2,1,54,1,0
"249",1,1,2,33,0,0
"250",1,2,2,13,2,2
"251",1,2,1,18,2,2
"252",1,2,1,21,2,2
"253",1,1,2,61,1,3
"254",1,2,1,48,1,3
"255",1,2,2,NA,0,0
"256",1,2,1,24,0,0
"257",1,2,2,NA,0,0
"258",1,2,1,35,1,0
"259",1,2,1,30,0,0
"260",1,2,2,34,0,0
"261",1,2,1,40,0,0
"262",1,2,2,35,0,0
"263",1,1,2,50,1,0
"264",1,2,1,39,1,0
"265",1,2,2,56,0,0
"266",1,2,2,28,0,0
"267",1,1,2,56,0,0
"268",1,1,2,56,0,0
"269",1,1,2,24,1,0
"270",1,1,2,NA,0,0
"271",1,2,1,18,1,0
"272",1,2,2,24,1,0
"273",1,2,1,23,1,0
"274",1,2,2,6,0,2
"275",1,2,2,45,1,1
"276",1,2,1,40,1,1
"277",1,1,2,57,1,0
"278",1,2,1,NA,1,0
"279",1,2,2,32,0,0
"280",1,1,2,62,0,0
"281",1,2,2,54,1,0
"282",1,2,1,43,1,0
"283",1,2,1,52,1,0
"284",1,1,2,NA,0,0
"285",1,2,1,62,0,0
"286",1,1,2,67,1,0
"287",1,1,1,63,1,0
"288",1,1,2,61,0,0
"289",1,2,1,48,0,0
"290",1,2,1,18,0,2
"291",1,1,2,52,1,1
"292",1,2,1,39,1,1
"293",1,2,2,48,1,0
"294",1,2,1,NA,1,0
"295",1,1,2,49,1,1
"296",1,2,2,17,0,2
"297",1,2,1,39,1,1
"298",1,2,1,NA,0,0
"299",1,2,2,31,0,0
"300",1,1,2,40,0,0
"301",1,1,2,61,0,0
"302",1,1,2,47,0,0
"303",1,2,1,35,0,0
"304",1,1,2,64,1,0
"305",1,2,1,60,1,0
"306",1,1,2,60,0,0
"307",1,1,2,54,0,1
"308",1,1,2,21,0,1
"309",1,2,1,55,0,0
"310",1,2,1,31,0,2
"311",1,1,2,57,1,1
"312",1,2,1,45,1,1
"313",1,1,2,50,1,1
"314",1,1,2,27,0,2
"315",1,2,1,50,1,1
"316",1,2,1,21,0,0
"317",1,1,2,51,0,1
"318",1,2,2,21,0,1
"319",1,1,2,NA,0,0
"320",1,2,1,31,0,0
"321",1,2,2,NA,0,0
"322",1,1,2,62,0,0
"323",1,2,1,36,0,0
"324",2,1,2,30,1,0
"325",2,2,1,28,1,0
"326",2,1,2,30,0,0
"327",2,1,2,18,0,0
"328",2,1,2,25,0,0
"329",2,1,2,34,1,0
"330",2,2,1,36,1,0
"331",2,1,2,57,0,0
"332",2,1,2,18,0,0
"333",2,1,2,23,0,0
"334",2,2,1,36,0,0
"335",2,1,2,28,0,0
"336",2,1,2,51,0,0
"337",2,2,2,32,1,0
"338",2,2,1,19,1,0
"339",2,1,2,28,0,0
"340",2,2,2,1,2,1
"341",2,2,1,4,2,1
"342",2,2,1,12,2,1
"343",2,2,1,36,0,3
"344",2,2,2,34,0,0
"345",2,2,1,19,0,0
"346",2,1,2,23,0,0
"347",2,1,2,26,0,0
"348",2,1,2,42,0,0
"349",2,1,2,27,0,0
"350",2,2,1,24,0,0
"351",2,2,1,15,0,2
"352",2,1,2,60,1,1
"353",2,2,1,40,1,1
"354",2,2,1,20,1,0
"355",2,1,2,25,1,0
"356",2,2,1,36,0,0
"357",2,1,2,25,0,0
"358",2,1,2,42,0,0
"359",2,2,1,42,0,0
"360",2,2,2,0.833299994,0,2
"361",2,2,2,26,1,1
"362",2,2,1,22,1,1
"363",2,2,1,35,0,0
"364",2,1,2,NA,0,0
"365",2,1,2,19,0,0
"366",2,1,1,44,1,0
"367",2,1,2,54,1,0
"368",2,1,2,52,0,0
"369",2,1,2,37,1,0
"370",2,1,1,29,1,0
"371",2,2,1,25,1,1
"372",2,2,1,45,0,2
"373",2,1,2,29,1,0
"374",2,2,1,28,1,0
"375",2,1,2,29,0,0
"376",2,1,2,28,0,0
"377",2,2,2,24,0,0
"378",2,2,1,8,0,2
"379",2,1,2,31,1,1
"380",2,2,1,31,1,1
"381",2,2,1,22,0,0
"382",2,1,1,30,0,0
"383",2,1,1,NA,0,0
"384",2,1,2,21,0,0
"385",2,1,2,NA,0,0
"386",2,2,2,8,1,1
"387",2,1,2,18,0,0
"388",2,2,1,48,0,2
"389",2,2,1,28,0,0
"390",2,1,2,32,0,0
"391",2,1,2,17,0,0
"392",2,1,2,29,1,0
"393",2,2,1,24,1,0
"394",2,1,2,25,0,0
"395",2,1,2,18,0,0
"396",2,2,1,18,0,1
"397",2,2,1,34,0,1
"398",2,1,2,54,0,0
"399",2,2,2,8,0,2
"400",2,1,2,42,1,1
"401",2,2,1,34,1,1
"402",2,2,1,27,1,0
"403",2,2,1,30,1,0
"404",2,1,2,23,0,0
"405",2,1,2,21,0,0
"406",2,1,2,18,0,0
"407",2,1,2,40,1,0
"408",2,2,1,29,1,0
"409",2,1,2,18,0,0
"410",2,1,2,36,0,0
"411",2,1,2,NA,0,0
"412",2,1,1,38,0,0
"413",2,1,2,35,0,0
"414",2,1,2,38,1,0
"415",2,1,2,34,1,0
"416",2,2,1,34,0,0
"417",2,1,2,16,0,0
"418",2,1,2,26,0,0
"419",2,1,2,47,0,0
"420",2,1,2,21,1,0
"421",2,1,2,21,1,0
"422",2,1,2,24,0,0
"423",2,1,2,24,0,0
"424",2,1,2,34,0,0
"425",2,1,2,30,0,0
"426",2,1,2,52,0,0
"427",2,1,2,30,0,0
"428",2,2,2,0.666700006,1,1
"429",2,2,1,24,0,2
"430",2,1,2,44,0,0
"431",2,2,1,6,0,1
"432",2,1,2,28,0,1
"433",2,2,2,62,0,0
"434",2,1,2,30,0,0
"435",2,2,1,7,0,2
"436",2,1,2,43,1,1
"437",2,2,1,45,1,1
"438",2,2,1,24,1,2
"439",2,2,1,24,1,2
"440",2,1,2,49,1,2
"441",2,2,1,48,1,2
"442",2,2,1,55,0,0
"443",2,1,2,24,2,0
"444",2,1,2,32,2,0
"445",2,1,2,21,2,0
"446",2,1,1,18,1,1
"447",2,2,1,20,2,1
"448",2,1,2,23,2,1
"449",2,1,2,36,0,0
"450",2,2,1,54,1,3
"451",2,1,2,50,0,0
"452",2,1,2,44,1,0
"453",2,2,1,29,1,0
"454",2,1,2,21,0,0
"455",2,2,2,42,0,0
"456",2,1,2,63,1,0
"457",2,1,1,60,1,0
"458",2,1,2,33,0,0
"459",2,2,1,17,0,0
"460",2,1,2,42,1,0
"461",2,2,1,24,2,1
"462",2,1,2,47,0,0
"463",2,1,2,24,2,0
"464",2,1,2,22,2,0
"465",2,1,2,32,0,0
"466",2,2,1,23,0,0
"467",2,1,2,34,1,0
"468",2,2,1,24,1,0
"469",2,1,1,22,0,0
"470",2,2,1,NA,0,0
"471",2,1,2,35,0,0
"472",2,2,1,45,0,0
"473",2,1,2,57,0,0
"474",2,1,2,NA,0,0
"475",2,1,2,31,0,0
"476",2,1,1,26,1,1
"477",2,1,2,30,1,1
"478",2,1,2,NA,0,0
"479",2,2,1,1,1,2
"480",2,2,1,3,1,2
"481",2,1,2,25,1,2
"482",2,2,1,22,1,2
"483",2,2,1,17,0,0
"484",2,2,1,NA,0,0
"485",2,2,1,34,0,0
"486",2,1,2,36,0,0
"487",2,1,2,24,0,0
"488",2,1,2,61,0,0
"489",2,1,2,50,1,0
"490",2,2,1,42,1,0
"491",2,1,1,57,0,0
"492",2,1,2,NA,0,0
"493",2,2,2,1,0,2
"494",2,1,2,31,1,1
"495",2,2,1,24,1,1
"496",2,1,2,NA,0,0
"497",2,1,2,30,0,0
"498",2,1,2,40,0,0
"499",2,1,2,32,0,0
"500",2,1,2,30,0,0
"501",2,1,2,46,0,0
"502",2,2,1,13,0,1
"503",2,2,1,41,0,1
"504",2,2,2,19,0,0
"505",2,1,2,39,0,0
"506",2,1,2,48,0,0
"507",2,1,2,70,0,0
"508",2,1,2,27,0,0
"509",2,1,2,54,0,0
"510",2,1,2,39,0,0
"511",2,1,2,16,0,0
"512",2,1,2,62,0,0
"513",2,1,2,32.5,1,0
"514",2,2,1,14,1,0
"515",2,2,2,2,1,1
"516",2,2,2,3,1,1
"517",2,1,2,36.5,0,2
"518",2,1,2,26,0,0
"519",2,1,2,19,1,1
"520",2,1,2,28,0,0
"521",2,2,2,20,0,0
"522",2,2,1,29,0,0
"523",2,1,2,39,0,0
"524",2,2,2,22,0,0
"525",2,2,2,NA,0,0
"526",2,1,2,23,0,0
"527",2,2,2,29,0,0
"528",2,1,2,28,0,0
"529",2,1,2,NA,0,0
"530",2,2,1,50,0,1
"531",2,1,2,19,0,0
"532",2,1,2,NA,0,0
"533",2,1,2,41,0,0
"534",2,2,1,21,0,1
"535",2,2,1,19,0,0
"536",2,1,2,43,0,1
"537",2,2,1,32,0,0
"538",2,1,2,34,0,0
"539",2,2,2,30,0,0
"540",2,1,2,27,0,0
"541",2,2,1,2,1,1
"542",2,2,1,8,1,1
"543",2,2,1,33,0,2
"544",2,1,2,36,0,0
"545",2,1,2,34,1,0
"546",2,2,1,30,3,0
"547",2,2,1,28,0,0
"548",2,1,2,23,0,0
"549",2,2,2,0.833299994,1,1
"550",2,2,2,3,1,1
"551",2,2,1,24,2,3
"552",2,2,1,50,0,0
"553",2,1,2,19,0,0
"554",2,2,1,21,0,0
"555",2,1,2,26,0,0
"556",2,1,2,25,0,0
"557",2,1,2,27,0,0
"558",2,2,1,25,0,1
"559",2,2,1,18,0,2
"560",2,2,1,20,0,0
"561",2,2,1,30,0,0
"562",2,1,2,59,0,0
"563",2,2,1,30,0,0
"564",2,1,2,35,0,0
"565",2,2,1,40,0,0
"566",2,1,2,25,0,0
"567",2,1,2,41,0,0
"568",2,1,2,25,0,0
"569",2,1,2,18.5,0,0
"570",2,1,2,14,0,0
"571",2,2,1,50,0,0
"572",2,1,2,23,0,0
"573",2,2,1,28,0,0
"574",2,2,1,27,0,0
"575",2,1,2,29,1,0
"576",2,1,1,27,1,0
"577",2,1,2,40,0,0
"578",2,2,1,31,0,0
"579",2,1,2,30,1,0
"580",2,1,2,23,1,0
"581",2,2,1,31,0,0
"582",2,1,2,NA,0,0
"583",2,2,1,12,0,0
"584",2,2,1,40,0,0
"585",2,2,1,32.5,0,0
"586",2,1,2,27,1,0
"587",2,2,1,29,1,0
"588",2,2,2,2,1,1
"589",2,2,1,4,1,1
"590",2,2,1,29,0,2
"591",2,2,1,0.916700006,1,2
"592",2,2,1,5,1,2
"593",2,1,2,36,1,2
"594",2,2,1,33,1,2
"595",2,1,2,66,0,0
"596",2,1,2,NA,0,0
"597",2,2,2,31,0,0
"598",2,2,2,NA,0,0
"599",2,2,1,26,0,0
"600",2,1,1,24,0,0
"601",3,1,2,42,0,0
"602",3,1,2,13,0,2
"603",3,1,2,16,1,1
"604",3,2,1,35,1,1
"605",3,2,1,16,0,0
"606",3,2,2,25,0,0
"607",3,2,2,20,0,0
"608",3,2,1,18,0,0
"609",3,1,2,30,0,0
"610",3,1,2,26,0,0
"611",3,1,1,40,1,0
"612",3,2,2,0.833299994,0,1
"613",3,2,1,18,0,1
"614",3,2,2,26,0,0
"615",3,1,2,26,0,0
"616",3,1,2,20,0,0
"617",3,1,2,24,0,0
"618",3,1,2,25,0,0
"619",3,1,2,35,0,0
"620",3,1,2,18,0,0
"621",3,1,2,32,0,0
"622",3,2,1,19,1,0
"623",3,1,2,4,4,2
"624",3,1,1,6,4,2
"625",3,1,1,2,4,2
"626",3,2,1,17,4,2
"627",3,1,1,38,4,2
"628",3,1,1,9,4,2
"629",3,1,1,11,4,2
"630",3,1,2,39,1,5
"631",3,2,2,27,0,0
"632",3,1,2,26,0,0
"633",3,1,1,39,1,5
"634",3,1,2,20,0,0
"635",3,1,2,26,0,0
"636",3,1,2,25,1,0
"637",3,1,1,18,1,0
"638",3,1,2,24,0,0
"639",3,1,2,35,0,0
"640",3,1,2,5,4,2
"641",3,1,2,9,4,2
"642",3,2,2,3,4,2
"643",3,1,2,13,4,2
"644",3,2,1,5,4,2
"645",3,1,2,40,1,5
"646",3,2,2,23,0,0
"647",3,2,1,38,1,5
"648",3,2,1,45,0,0
"649",3,1,2,21,0,0
"650",3,1,2,23,0,0
"651",3,1,1,17,0,0
"652",3,1,2,30,0,0
"653",3,1,2,23,0,0
"654",3,2,1,13,0,0
"655",3,1,2,20,0,0
"656",3,1,2,32,1,0
"657",3,2,1,33,3,0
"658",3,2,1,0.75,2,1
"659",3,2,1,0.75,2,1
"660",3,2,1,5,2,1
"661",3,2,1,24,0,3
"662",3,2,1,18,0,0
"663",3,1,2,40,0,0
"664",3,1,2,26,0,0
"665",3,2,2,20,0,0
"666",3,1,1,18,0,1
"667",3,1,1,45,0,1
"668",3,1,1,27,0,0
"669",3,1,2,22,0,0
"670",3,1,2,19,0,0
"671",3,1,2,26,0,0
"672",3,1,2,22,0,0
"673",3,1,2,NA,0,0
"674",3,1,2,20,0,0
"675",3,2,2,32,0,0
"676",3,1,2,21,0,0
"677",3,1,2,18,0,0
"678",3,1,2,26,0,0
"679",3,1,2,6,1,1
"680",3,1,1,9,1,1
"681",3,1,2,NA,0,0
"682",3,1,1,NA,0,2
"683",3,1,1,NA,0,2
"684",3,1,2,40,1,1
"685",3,1,1,32,1,1
"686",3,1,2,21,0,0
"687",3,2,1,22,0,0
"688",3,1,1,20,0,0
"689",3,1,2,29,1,0
"690",3,1,2,22,1,0
"691",3,1,2,22,0,0
"692",3,1,2,35,0,0
"693",3,1,1,18.5,0,0
"694",3,2,2,21,0,0
"695",3,1,2,19,0,0
"696",3,1,1,18,0,0
"697",3,1,1,21,0,0
"698",3,1,1,30,0,0
"699",3,1,2,18,0,0
"700",3,1,2,38,0,0
"701",3,1,2,17,0,0
"702",3,1,2,17,0,0
"703",3,1,1,21,0,0
"704",3,1,2,21,0,0
"705",3,1,2,21,0,0
"706",3,1,2,NA,1,0
"707",3,1,1,NA,1,0
"708",3,1,2,28,0,0
"709",3,1,2,24,0,0
"710",3,2,1,16,0,0
"711",3,1,1,37,0,0
"712",3,1,2,28,0,0
"713",3,1,2,24,0,0
"714",3,1,2,21,0,0
"715",3,2,2,32,0,0
"716",3,1,2,29,0,0
"717",3,1,2,26,1,0
"718",3,1,2,18,1,0
"719",3,1,2,20,0,0
"720",3,2,2,18,0,0
"721",3,1,2,24,0,0
"722",3,1,2,36,0,0
"723",3,1,2,24,0,0
"724",3,1,2,31,0,0
"725",3,1,2,31,0,0
"726",3,2,1,22,0,0
"727",3,1,1,30,0,0
"728",3,1,2,70.5,0,0
"729",3,1,2,43,0,0
"730",3,1,2,35,0,0
"731",3,1,2,27,0,0
"732",3,1,2,19,0,0
"733",3,1,2,30,0,0
"734",3,2,2,9,1,1
"735",3,2,2,3,1,1
"736",3,2,1,36,0,2
"737",3,1,2,59,0,0
"738",3,1,2,19,0,0
"739",3,2,1,17,0,1
"740",3,1,2,44,0,1
"741",3,1,2,17,0,0
"742",3,1,2,22.5,0,0
"743",3,2,2,45,0,0
"744",3,1,1,22,0,0
"745",3,1,2,19,0,0
"746",3,2,1,30,0,0
"747",3,2,2,29,0,0
"748",3,1,2,0.333299994,0,2
"749",3,1,2,34,1,1
"750",3,1,1,28,1,1
"751",3,1,2,27,0,0
"752",3,1,2,25,0,0
"753",3,1,2,24,2,0
"754",3,1,2,22,0,0
"755",3,1,2,21,2,0
"756",3,1,2,17,2,0
"757",3,1,2,NA,1,0
"758",3,2,1,NA,1,0
"759",3,2,2,36.5,1,0
"760",3,2,1,36,1,0
"761",3,2,2,30,0,0
"762",3,1,2,16,0,0
"763",3,2,2,1,1,2
"764",3,2,1,0.166700006,1,2
"765",3,1,2,26,1,2
"766",3,2,1,33,1,2
"767",3,1,2,25,0,0
"768",3,1,2,NA,0,0
"769",3,1,2,NA,0,0
"770",3,1,2,22,0,0
"771",3,1,2,36,0,0
"772",3,2,1,19,0,0
"773",3,1,2,17,0,0
"774",3,1,2,42,0,0
"775",3,1,2,43,0,0
"776",3,1,2,NA,0,0
"777",3,1,2,32,0,0
"778",3,2,2,19,0,0
"779",3,2,1,30,0,0
"780",3,1,1,24,0,0
"781",3,2,1,23,0,0
"782",3,1,2,33,0,0
"783",3,1,2,65,0,0
"784",3,2,2,24,0,0
"785",3,1,2,23,1,0
"786",3,2,1,22,1,0
"787",3,1,2,18,0,0
"788",3,1,2,16,0,0
"789",3,1,2,45,0,0
"790",3,1,2,NA,0,0
"791",3,1,2,39,0,2
"792",3,1,2,17,1,1
"793",3,1,2,15,1,1
"794",3,1,2,47,0,0
"795",3,2,1,5,0,0
"796",3,1,2,NA,0,0
"797",3,1,2,40.5,0,0
"798",3,1,2,40.5,0,0
"799",3,2,2,NA,0,0
"800",3,1,2,18,0,0
"801",3,1,1,NA,0,0
"802",3,1,2,NA,0,0
"803",3,1,2,NA,0,0
"804",3,1,2,26,0,0
"805",3,1,2,NA,0,0
"806",3,2,2,NA,0,0
"807",3,1,1,21,2,2
"808",3,1,1,9,2,2
"809",3,1,2,NA,0,0
"810",3,1,2,18,2,2
"811",3,1,2,16,1,3
"812",3,1,1,48,1,3
"813",3,1,2,NA,0,0
"814",3,1,2,NA,0,0
"815",3,1,2,25,0,0
"816",3,1,2,NA,0,0
"817",3,1,2,NA,0,0
"818",3,1,2,22,0,0
"819",3,2,1,16,0,0
"820",3,2,1,NA,0,0
"821",3,2,2,9,0,2
"822",3,1,2,33,1,1
"823",3,1,2,41,0,0
"824",3,2,1,31,1,1
"825",3,1,2,38,0,0
"826",3,1,2,9,5,2
"827",3,1,2,1,5,2
"828",3,1,2,11,5,2
"829",3,1,1,10,5,2
"830",3,1,1,16,5,2
"831",3,1,2,14,5,2
"832",3,1,2,40,1,6
"833",3,1,1,43,1,6
"834",3,1,2,51,0,0
"835",3,1,2,32,0,0
"836",3,1,2,NA,0,0
"837",3,1,2,20,0,0
"838",3,1,2,37,2,0
"839",3,1,2,28,2,0
"840",3,1,2,19,0,0
"841",3,1,1,24,0,0
"842",3,1,1,17,0,0
"843",3,1,2,NA,1,0
"844",3,1,2,NA,1,0
"845",3,1,2,28,1,0
"846",3,2,1,24,1,0
"847",3,1,2,20,0,0
"848",3,1,2,23.5,0,0
"849",3,1,2,41,2,0
"850",3,1,2,26,1,0
"851",3,1,2,21,0,0
"852",3,2,1,45,1,0
"853",3,1,1,NA,0,0
"854",3,1,2,25,0,0
"855",3,1,2,NA,0,0
"856",3,1,2,11,0,0
"857",3,2,1,NA,0,0
"858",3,2,2,27,0,0
"859",3,2,2,NA,0,0
"860",3,1,1,18,0,0
"861",3,2,1,26,0,0
"862",3,1,1,23,0,0
"863",3,2,1,22,0,0
"864",3,1,2,28,0,0
"865",3,1,1,28,0,0
"866",3,1,1,NA,0,0
"867",3,2,1,2,0,1
"868",3,2,1,22,1,1
"869",3,1,2,43,0,0
"870",3,1,2,28,0,0
"871",3,2,1,27,0,0
"872",3,1,2,NA,0,0
"873",3,2,1,NA,0,0
"874",3,1,2,42,0,0
"875",3,2,2,NA,0,0
"876",3,1,2,30,0,0
"877",3,1,2,NA,0,0
"878",3,1,1,27,1,0
"879",3,1,1,25,1,0
"880",3,1,2,NA,0,0
"881",3,2,2,29,0,0
"882",3,2,2,21,0,0
"883",3,1,2,NA,0,0
"884",3,1,2,20,0,0
"885",3,1,2,48,0,0
"886",3,1,2,17,1,0
"887",3,2,1,NA,0,0
"888",3,2,2,NA,0,0
"889",3,1,2,34,0,0
"890",3,2,2,26,0,0
"891",3,1,2,22,0,0
"892",3,1,2,33,0,0
"893",3,1,2,31,0,0
"894",3,1,2,29,0,0
"895",3,2,2,4,1,1
"896",3,2,1,1,1,1
"897",3,1,2,49,0,0
"898",3,1,2,33,0,0
"899",3,1,2,19,0,0
"900",3,2,1,27,0,2
"901",3,1,2,NA,1,2
"902",3,1,1,NA,1,2
"903",3,1,2,NA,1,2
"904",3,1,1,NA,1,2
"905",3,1,2,23,0,0
"906",3,2,2,32,0,0
"907",3,1,2,27,0,0
"908",3,1,1,20,1,0
"909",3,1,1,21,1,0
"910",3,2,2,32,0,0
"911",3,1,2,17,0,0
"912",3,1,2,21,0,0
"913",3,1,2,30,0,0
"914",3,2,2,21,0,0
"915",3,1,2,33,0,0
"916",3,1,2,22,0,0
"917",3,2,1,4,0,1
"918",3,2,2,39,0,1
"919",3,1,2,NA,0,0
